,ABL1,ADP/ATP,AKT1,AMP/ATP,AMPK,ATG13,ATG5,ATM/ATR,ATM/ATR_2,ATP,BAX,BCL2,CASP3,CASP9,CDK4,CDKN1A,CDKN2A,DNAdamage,DNAdamage_high,E2F1,EIF4EBP1,FOXO3,G6PC,Glucose,Glycolysis,HIPK2,IGF1,IGF1R,IKBKB,IL1B,IL6,INSR,IRS1,KRAS,MAP2K3/MAP2K6,MAPK1,MAPK14,MDM2,MTOR,NAD+,NFKB1,NFKBIE,PDK1,PIK3CA,PPARGC1A,PTEN,RB1,RHEB,ROS,S6K1,SGK1,SIRT1,SLC2A4,SOD2,TCA cycle,TNF,TP53,TP53_s46,TSC2,ULK1,lowNutrition
INPUT: 1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,0,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
INPUT: 2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,0,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1
INPUT: 3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1
INPUT: 4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
OUTPUT: 1,9,9,9,9,9,0,0,1,0,9,9,1,0,9,9,1,1,9,9,0,0,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,1,9,1,9,9,9,9,9,1,9,9,1,9,9,9,9,9,1,1,0,9,0,9
OUTPUT: 2,9,9,9,9,1,1,1,1,0,9,9,9,0,9,9,9,9,9,9,0,1,9,9,9,9,9,9,9,9,0,0,0,9,9,9,9,9,9,0,9,0,9,9,9,9,9,1,9,9,0,9,9,9,9,9,0,0,0,9,1,9
OUTPUT: 3,9,9,9,9,9,1,1,0,1,9,9,9,1,9,9,9,9,9,9,0,1,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,0,9,1,9,9,9,9,9,1,9,9,0,9,9,9,9,9,1,0,1,9,1,9
OUTPUT: 4,9,9,9,9,9,0,0,0,0,9,9,9,0,9,9,9,9,9,9,1,0,9,9,9,9,9,9,9,9,0,0,9,9,9,9,9,9,9,1,9,0,9,9,9,9,9,0,9,9,1,9,9,9,9,9,0,0,0,9,0,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
